 schemaname |        tablename        |                 policyname                  | permissive |  roles   | cmd |                                                                qual                                                                |                                                           with_check                                                           
 public     | llm_usage               | llm_usage_workspace_isolation               | PERMISSIVE | {public} | ALL | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))                                 | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))
 public     | llm_use_cases           | llm_use_cases_workspace_isolation           | PERMISSIVE | {public} | ALL | ((workspace_id IS NULL) OR ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text)))     | ((workspace_id IS NULL) OR ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text)))
 public     | media                   | media_workspace_isolation                   | PERMISSIVE | {public} | ALL | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))                                 | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))
 public     | notifications           | notifications_workspace_isolation           | PERMISSIVE | {public} | ALL | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))                                 | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))
 public     | pipeline_stages         | pipeline_stages_workspace_isolation         | PERMISSIVE | {public} | ALL | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))                                 | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))
 public     | proxy_providers_config  | proxy_providers_config_workspace_isolation  | PERMISSIVE | {public} | ALL | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))                                 | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))
 public     | proxy_usage_log         | proxy_usage_log_workspace_isolation         | PERMISSIVE | {public} | ALL | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))                                 | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))
 public     | rgpd_requests           | rgpd_requests_workspace_isolation           | PERMISSIVE | {public} | ALL | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))                                 | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))
 public     | rotations               | rotations_workspace_isolation               | PERMISSIVE | {public} | ALL | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))                                 | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))
 public     | saved_views             | saved_views_workspace_isolation             | PERMISSIVE | {public} | ALL | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))                                 | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))
 public     | scraper_runs            | scraper_runs_workspace_isolation            | PERMISSIVE | {public} | ALL | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))                                 | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))
 public     | scraping_campaigns      | scraping_campaigns_workspace_isolation      | PERMISSIVE | {public} | ALL | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))                                 | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))
 public     | strategic_keywords      | strategic_keywords_workspace_isolation      | PERMISSIVE | {public} | ALL | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))                                 | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))
 public     | tags                    | tags_workspace_isolation                    | PERMISSIVE | {public} | ALL | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))                                 | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))
 public     | unsubscribes            | unsubscribes_workspace_isolation            | PERMISSIVE | {public} | ALL | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))                                 | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))
 public     | web_vital_samples       | web_vital_samples_workspace_isolation       | PERMISSIVE | {public} | ALL | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))                                 | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))
(56 rows)

